 ,"program","var",@@,Identifierlist,"Integer","Float","procedure","function","(",";",Identifier,"begin",EmptyStatement,"read","write","if","while","repeat","for",,",","-","+","else","to","downto","=","<",">","<=",">=","<>","or",UnsignedInteger,"not","*","div","mod","and"
(index):136 SystemGoal,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProgramHeading,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,,"4","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableDeclarationPart,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableDeclarationTail,,,"","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableDeclaration,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,,,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProcedureAndFunctionDeclarationPart,,,"",,,,"14","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProcedureDeclaration,,,,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionDeclaration,,,,,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProcedureHeading,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionHeading,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OptionalFormalParameterList,,,"",,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FormalParameterSectionTail,,,"",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FormalParameterSection,,"25",,,,,,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ValueParameterSection,,,,,,,,,,,"105",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableParameterSection,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StatementPart,,,,,,,,,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,
CompoundStatement,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
StatementSequence,,,,,,,,,,,"35,40","32","31","33","34","36","37","38","39",,,,,,,,,,,,,,,,,,,,
StatementTail,,,"",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statement,,,,,,,,,,,"50,51,63","27","","42","46","52","56","55","57",,,,,,,,,,,,,,,,,,,,
EmptyStatement ,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,
ReadStatement,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
